Frequency Value,FP01,FP02,FP03,FP04,FP05,FP06,FP07,FP08,FP09,FP10,FP11,FP12,FP13,FP14,FP15,FP16
76.171875,0.003927,0.002391,0.006529,0.000686,0.023763,0.028976,0.028835,0.024079,0.075761,0.074121,0.076075,0.075829,0.979925,0.978948,1,0.91541
76.5625,0.002146,0.000795,0.008491,0.000289,0.024684,0.029083,0.028875,0.024849,0.081105,0.07891,0.081229,0.080975,0.978254,0.977673,1,0.911702
76.953125,0.001148,0.001363,0.00372,0.000356,0.020134,0.022309,0.022445,0.020071,0.0695,0.068057,0.070852,0.069731,0.977898,0.97744,1,0.909669
77.34375,0.00167,0.003926,0.004622,0.000727,0.021913,0.02473,0.025025,0.022305,0.07046,0.069392,0.071412,0.071137,0.978689,0.977461,1,0.913332
77.734375,0.001298,0.003921,0.006117,0.001702,0.022361,0.026762,0.026926,0.022612,0.079159,0.078496,0.080159,0.079723,0.977983,0.976887,1,0.911473
78.125,0.000306,0.006295,0.010691,0.002347,0.016626,0.017515,0.017253,0.016457,0.070145,0.070426,0.071684,0.070848,0.977747,0.977326,1,0.912342
78.515625,0.000704,0.004113,0.01289,0.001584,0.029226,0.026301,0.026265,0.028813,0.078538,0.077265,0.080197,0.078599,0.977292,0.976722,1,0.908713
78.90625,0.001248,0.004415,0.008482,0.001121,0.020812,0.022165,0.022215,0.021049,0.067427,0.066333,0.068184,0.066279,0.977357,0.976519,1,0.910853
79.296875,0.004981,0.008492,0.014245,0.00107,0.023361,0.024436,0.024557,0.023241,0.0706,0.068971,0.070797,0.069447,0.977585,0.976193,1,0.913234
79.6875,0.00329,0.005636,0.012649,0.002156,0.020784,0.023199,0.023499,0.020473,0.07385,0.072803,0.07423,0.072384,0.97759,0.976314,1,0.913267
80.078125,0.00002812759,0.004905,0.006811,0.002879,0.019869,0.018085,0.018352,0.019704,0.058937,0.058715,0.060394,0.059843,0.978287,0.976722,1,0.914876
80.46875,0.000362,0.002312,0.008744,0.001725,0.016064,0.018467,0.018315,0.015924,0.05147,0.050406,0.052651,0.051559,0.978019,0.976878,1,0.914229
