Frequency Value,FP01,FP02,FP03,FP04,FP05,FP06,FP07,FP08,FP09,FP10,FP11,FP12,FP13,FP14,FP15,FP16
43.75,0.012794,0.019526,0.038616,0.008377,0.082804,0.017536,1,0.00959,0.002823,0.008195,0.043026,0.00334,0.013404,0.001291,0.0027,0.001048
44.140625,0.006928,0.021037,0.032645,0.011676,0.094642,0.023481,1,0.009222,0.00095,0.008616,0.045059,0.003717,0.012265,0.000382,0.000614,0.001153
44.53125,0.003378,0.021616,0.036867,0.009451,0.123141,0.018012,1,0.016079,0.002709,0.003536,0.034898,0.00177,0.030141,0.002343,0.001371,0.002974
44.921875,0.011699,0.020733,0.043368,0.022197,0.134337,0.017707,1,0.029965,0.005078,0.001912,0.047371,0.001683,0.018025,0.002675,0.000522,0.000859
45.3125,0.018679,0.037252,0.044205,0.015855,0.13545,0.017941,1,0.010757,0.00731,0.008465,0.048988,0.00069,0.011532,0.001409,0.001239,0.001508
45.703125,0.0106,0.046307,0.045635,0.007344,0.127779,0.018663,1,0.007932,0.013193,0.010441,0.059008,0.002381,0.011784,0.004136,0.00255,0.000204
46.09375,0.011379,0.021506,0.037279,0.019291,0.096526,0.02248,1,0.007474,0.003435,0.005762,0.041299,0.000508,0.014379,0.006618,0.001222,0.000319
46.484375,0.012632,0.014642,0.043834,0.023737,0.085226,0.017888,1,0.021607,0.004251,0.002456,0.04219,0.001246,0.011065,0.003655,0.000713,0.002836
46.875,0.008016,0.018,0.024407,0.017582,0.117262,0.021764,1,0.016841,0.006971,0.003953,0.045556,0.000307,0.010118,0.00039,0.00179,0.001969
47.265625,0.007176,0.035882,0.025179,0.013026,0.125176,0.028324,1,0.016925,0.00732,0.002259,0.049121,0.00103,0.013235,0.002294,0.003814,0.002162
47.65625,0.009346,0.020706,0.020385,0.011632,0.104328,0.023881,1,0.021741,0.007767,0.00102,0.058251,0.001859,0.013115,0.000596,0.000702,0.001086
48.046875,0.01486,0.010025,0.032698,0.012569,0.084658,0.009826,1,0.026791,0.003629,0.001089,0.03504,0.001316,0.008269,0.00065,0.00008534767,0.000525
48.4375,0.022125,0.036891,0.061763,0.021059,0.109472,0.015253,1,0.001954,0.011241,0.022138,0.058359,0.007093,0.014592,0.005065,0.002808,0.000946
48.828125,0.020012,0.043463,0.05984,0.012034,0.118763,0.01626,1,0.002977,0.007432,0.017104,0.049655,0.004227,0.010113,0.006688,0.001426,0.000224
49.21875,0.010533,0.042893,0.05144,0.021039,0.122165,0.018789,1,0.001788,0.010508,0.006981,0.068473,0.001043,0.022923,0.000539,0.000903,0.002913
49.609375,0.010149,0.036693,0.04838,0.024529,0.121304,0.012674,1,0.004014,0.003531,0.000296,0.064102,0.005609,0.025583,0.000672,0.001947,0.002041
50,0.009192,0.05147,0.072711,0.030131,0.108629,0.005202,1,0.000862,0.000491,0.002425,0.070764,0.016353,0.023996,0.00586,0.002783,0.001851
50.390625,0.001842,0.021466,0.053394,0.022154,0.086262,0.016027,1,0.004477,0.000643,0.001403,0.03694,0.00456,0.011085,0.003282,0.000771,0.00132
50.78125,0.003429,0.042303,0.044604,0.027423,0.128001,0.011583,1,0.008751,0.003513,0.00715,0.062088,0.005018,0.016164,0.002228,0.000367,0.000597
51.171875,0.00048,0.026781,0.022974,0.022094,0.094327,0.027836,1,0.009626,0.004664,0.012923,0.04664,0.003756,0.018345,0.000989,0.000775,0.00498
51.5625,0.002982,0.011719,0.028078,0.011255,0.091003,0.033297,1,0.007934,0.007746,0.000803,0.03462,0.000147,0.007863,0.001507,0.000856,0.002609
51.953125,0.007936,0.009955,0.028356,0.005562,0.123509,0.025111,1,0.003169,0.010758,0.001229,0.037741,0.001128,0.007917,0.003232,0.001582,0.000571
52.34375,0.009169,0.015052,0.038118,0.011545,0.112714,0.021368,1,0.007642,0.005279,0.005408,0.029563,0.001571,0.015921,0.002672,0.000468,0.000842
52.734375,0.008254,0.02905,0.035135,0.011486,0.088227,0.021949,1,0.011932,0.003079,0.012905,0.044388,0.000909,0.011644,0.005337,0.002862,0.000303
53.125,0.008847,0.02758,0.028182,0.008015,0.102459,0.029212,1,0.013593,0.007247,0.00419,0.043178,0.000579,0.016379,0.003653,0.000748,0.003858
53.515625,0.012201,0.032101,0.033009,0.01153,0.122101,0.02342,1,0.010829,0.007635,0.002938,0.044357,0.00086,0.005172,0.004941,0.003768,0.003602
53.90625,0.008305,0.032091,0.037968,0.010178,0.131121,0.016767,1,0.004885,0.008697,0.007203,0.044325,0.002779,0.012302,0.001736,0.001551,0.000753
54.296875,0.014841,0.037402,0.037576,0.010903,0.097352,0.024166,1,0.001853,0.005172,0.019711,0.042788,0.007126,0.009042,0.004235,0.004709,0.001307
54.6875,0.00802,0.029643,0.026302,0.017755,0.106703,0.018663,1,0.006629,0.000257,0.014417,0.037851,0.003195,0.012999,0.003543,0.001058,0.001724
55.078125,0.012956,0.022033,0.042406,0.013609,0.086755,0.022438,1,0.01679,0.003742,0.007945,0.039535,0.000957,0.008112,0.003217,0.001834,0.000336
55.46875,0.007367,0.016608,0.031996,0.011353,0.117561,0.029707,1,0.016437,0.005893,0.001661,0.045194,0.001116,0.007216,0.001787,0.001614,0.000565
55.859375,0.005535,0.028037,0.027796,0.015884,0.127591,0.042809,1,0.011555,0.002598,0.006266,0.0413,0.001015,0.009627,0.000892,0.00235,0.001615
56.25,0.008839,0.037759,0.037769,0.00598,0.125317,0.032328,1,0.002907,0.006698,0.009803,0.049186,0.000803,0.014058,0.000456,0.000295,0.002043
56.640625,0.006349,0.034431,0.024646,0.011111,0.134002,0.015716,1,0.008133,0.00974,0.010243,0.054447,0.003714,0.014897,0.001443,0.002882,0.004002
57.03125,0.002914,0.026119,0.020451,0.0114,0.11542,0.019273,1,0.007068,0.004062,0.009916,0.036018,0.000528,0.009546,0.001201,0.000882,0.002264
57.421875,0.001641,0.024128,0.032136,0.006396,0.114877,0.010183,1,0.022079,0.002431,0.005594,0.027365,0.00006198403,0.010342,0.002048,0.00056,0.000479
57.8125,0.005988,0.027165,0.034415,0.00943,0.106408,0.009503,1,0.030601,0.005376,0.002372,0.029908,0.000631,0.006981,0.001952,0.001042,0.000129
58.203125,0.001693,0.031791,0.028207,0.017937,0.130803,0.025826,1,0.009992,0.009373,0.004881,0.05408,0.001701,0.010411,0.000982,0.000193,0.001159
58.59375,0.006654,0.021986,0.021302,0.016138,0.134858,0.019742,1,0.020004,0.002778,0.004615,0.040523,0.005451,0.015813,0.001347,0.000193,0.001577
58.984375,0.004447,0.023259,0.01656,0.020923,0.122318,0.024769,1,0.007649,0.002265,0.018352,0.031848,0.003284,0.012143,0.002684,0.001243,0.000181
59.375,0.007664,0.012873,0.011341,0.013958,0.093827,0.029308,1,0.011885,0.000605,0.010865,0.025564,0.000162,0.008643,0.002251,0.002917,0.00009042429
59.765625,0.013805,0.003123,0.005526,0.019849,0.069231,0.027421,1,0.016759,0.007286,0.006567,0.02808,0.002237,0.010199,0.002551,0.002881,0.001779
60.15625,0.013654,0.007159,0.004099,0.015934,0.064619,0.022541,1,0.017812,0.015054,0.006023,0.02627,0.010374,0.00732,0.000523,0.01093,0.006322
60.546875,0.00436,0.016567,0.012851,0.014279,0.09002,0.025473,1,0.006084,0.003278,0.01326,0.030227,0.002387,0.002138,0.00019,0.00006656916,0.000351
60.9375,0.004206,0.018313,0.023047,0.010391,0.12165,0.016458,1,0.018525,0.003092,0.002284,0.025253,0.001392,0.005835,0.001305,0.000919,0.00094
61.328125,0.009704,0.025841,0.01869,0.015034,0.136277,0.020663,1,0.015438,0.013075,0.001891,0.040688,0.004101,0.013751,0.000335,0.000292,0.001689
61.71875,0.007961,0.024847,0.021688,0.01893,0.10491,0.024391,1,0.015049,0.007431,0.003334,0.03596,0.000926,0.018199,0.000726,0.000175,0.002096
62.109375,0.014082,0.041575,0.031438,0.012723,0.108324,0.023094,1,0.00681,0.004678,0.017631,0.035899,0.005599,0.015434,0.004903,0.001587,0.001542
62.5,0.011851,0.032325,0.0327,0.015588,0.116032,0.034508,1,0.002378,0.002675,0.013956,0.037682,0.001685,0.0053,0.004104,0.001995,0.00128
62.890625,0.008106,0.009637,0.012468,0.007008,0.091056,0.031473,1,0.009489,0.002877,0.00647,0.026986,0.000603,0.00168,0.000987,0.001157,0.000547
63.28125,0.004021,0.014337,0.013664,0.010016,0.096352,0.024524,1,0.022382,0.00126,0.001629,0.018478,0.000772,0.007762,0.000347,0.00107,0.001272
63.671875,0.008122,0.029471,0.02653,0.01091,0.124828,0.018271,1,0.018544,0.002232,0.003646,0.031857,0.001475,0.007885,0.001423,0.000323,0.001403
64.0625,0.005204,0.024652,0.021236,0.014613,0.115819,0.013731,1,0.01008,0.003556,0.006474,0.034859,0.000688,0.008663,0.000651,0.001556,0.003104
64.453125,0.007506,0.009292,0.020204,0.007528,0.104567,0.021952,1,0.015559,0.009389,0.001055,0.030951,0.000608,0.008536,0.001185,0.000627,0.001956
64.84375,0.006276,0.006594,0.017781,0.007289,0.102131,0.020584,1,0.024504,0.007209,0.002384,0.028663,0.001465,0.005623,0.003342,0.001793,0.002919
65.234375,0.004109,0.018665,0.026256,0.021171,0.092793,0.037318,1,0.008301,0.001161,0.012089,0.023646,0.000477,0.00375,0.001914,0.005269,0.003351
