Frequency Value,FP01,FP02,FP03,FP04,FP05,FP06,FP07,FP08,FP09,FP10,FP11,FP12,FP13,FP14,FP15,FP16
33.203125,0.293859,0.282788,0.073518,0.147129,0.403303,0.175716,1,0.04923,0.132637,0.067426,0.119772,0.137926,0.009113,0.294815,0.210237,0.129293
33.59375,0.06146,0.137967,0.047858,0.082999,0.120427,0.08135,1,0.038608,0.017043,0.03819,0.022208,0.035506,0.061808,0.051183,0.025322,0.008575
33.984375,0.075758,0.233887,0.018483,0.207383,0.170416,0.062255,1,0.069843,0.001639,0.013938,0.024404,0.050172,0.084354,0.134469,0.016736,0.014289
34.375,0.097808,0.02859,0.219698,0.039674,0.185917,0.128106,1,0.056465,0.014076,0.128491,0.016508,0.046965,0.125553,0.104803,0.170986,0.100911
34.765625,0.095584,0.064981,0.052967,0.057487,0.321544,0.429523,1,0.130767,0.085604,0.097088,0.126485,0.044478,0.164761,0.061125,0.095028,0.062809
35.15625,0.024862,0.126253,0.060195,0.038486,0.180974,0.283474,1,0.029822,0.0191,0.088833,0.009321,0.070344,0.024085,0.169224,0.202649,0.189896
35.546875,0.226386,0.125554,0.052007,0.036545,0.052024,0.212824,1,0.017085,0.129922,0.084433,0.072862,0.160445,0.082646,0.037765,0.062817,0.052535
35.9375,0.037449,0.023377,0.046566,0.020823,0.050909,0.402613,1,0.056933,0.054183,0.037058,0.032805,0.074271,0.107558,0.037744,0.006174,0.060962
36.328125,0.016106,0.012852,0.024584,0.008781,0.112313,0.190896,1,0.052801,0.020978,0.027936,0.036788,0.006076,0.160604,0.039582,0.062441,0.098101
36.71875,0.056185,0.073497,0.099677,0.032986,0.034451,0.366488,1,0.009417,0.036248,0.066435,0.038141,0.020485,0.161744,0.06289,0.082054,0.088984
37.109375,0.011774,0.025759,0.08465,0.030796,0.383228,0.267578,1,0.220655,0.13178,0.014316,0.095128,0.150204,0.062157,0.019401,0.035334,0.006093
37.5,0.053379,0.027213,0.012817,0.065599,0.111358,0.308184,1,0.123836,0.128643,0.046453,0.127407,0.101366,0.03069,0.041921,0.027318,0.01238
37.890625,0.02782,0.095786,0.064239,0.098913,0.165842,0.339032,1,0.005049,0.015618,0.05229,0.006871,0.012204,0.332469,0.045818,0.105224,0.169276
38.28125,0.04137,0.040345,0.066087,0.013829,0.477449,0.344687,1,0.136708,0.088855,0.06496,0.009827,0.156469,0.180399,0.045947,0.05969,0.098828
38.671875,0.008025,0.10342,0.139079,0.05472,0.448662,0.369328,1,0.167406,0.043045,0.067076,0.007978,0.066357,0.155372,0.259185,0.033448,0.03287
39.0625,0.004613,0.018592,0.074955,0.08552,0.11127,0.176998,1,0.020573,0.115241,0.144928,0.071182,0.083361,0.005327,0.169772,0.122012,0.090347
39.453125,0.003654,0.021058,0.055597,0.007908,0.038721,0.19318,1,0.096395,0.035888,0.041563,0.034739,0.01836,0.043018,0.081527,0.045219,0.015303
39.84375,0.017986,0.074852,0.028752,0.178841,0.025956,0.183917,1,0.063408,0.118955,0.067006,0.153911,0.059292,0.098033,0.066212,0.077197,0.053879
40.234375,0.155499,0.039786,0.098424,0.076479,0.023931,0.316441,1,0.052094,0.129164,0.009715,0.090385,0.183377,0.013394,0.083843,0.042495,0.071342
40.625,0.076555,0.059774,0.09011,0.063801,0.17466,0.055778,1,0.049112,0.165638,0.049089,0.072892,0.20126,0.029006,0.083913,0.062212,0.07072
41.015625,0.020538,0.043145,0.183727,0.255393,0.115757,0.038295,1,0.116067,0.078774,0.063824,0.22356,0.064664,0.001534,0.214075,0.076181,0.107933
41.40625,0.01365,0.045083,0.081353,0.110473,0.205618,0.172366,1,0.029436,0.027345,0.012379,0.056931,0.055079,0.071878,0.051497,0.061164,0.041918
41.796875,0.016658,0.145366,0.125007,0.04839,0.237563,0.182184,1,0.126669,0.030249,0.010538,0.05272,0.027699,0.032207,0.05636,0.02076,0.025324
42.1875,0.00823,0.075453,0.127569,0.007223,0.123237,0.181355,1,0.047074,0.024744,0.05477,0.023922,0.027937,0.105693,0.36266,0.046282,0.181091
42.578125,0.020156,0.125521,0.223514,0.000913,0.183844,0.104692,1,0.052504,0.059573,0.064169,0.077886,0.023074,0.110442,0.211793,0.032299,0.088086
42.96875,0.017464,0.028835,0.001535,0.013256,0.220548,0.241897,1,0.073496,0.017957,0.053193,0.025656,0.007051,0.079743,0.199396,0.14416,0.116833
43.359375,0.017844,0.103021,0.054952,0.031855,0.081825,0.141065,1,0.049503,0.061313,0.136392,0.047063,0.017072,0.231429,0.027919,0.21215,0.217156
43.75,0.0188,0.010812,0.002435,0.022106,0.049041,0.16685,1,0.051956,0.031732,0.031225,0.056151,0.077487,0.178371,0.100176,0.026525,0.013536
44.140625,0.03018,0.026736,0.192662,0.025473,0.044645,0.207535,1,0.082952,0.031372,0.048763,0.058624,0.030913,0.104223,0.179342,0.050008,0.034363
44.53125,0.116964,0.149739,0.134889,0.060258,0.117674,0.020399,1,0.123959,0.067461,0.04024,0.09126,0.060489,0.010193,0.014858,0.058631,0.03628
44.921875,0.109222,0.038087,0.155396,0.0025,0.22656,0.105763,1,0.015758,0.012942,0.017069,0.03853,0.006341,0.023161,0.006669,0.034123,0.008804
45.3125,0.135059,0.031014,0.190231,0.023595,0.109933,0.133426,1,0.006281,0.129053,0.104086,0.061903,0.121245,0.13586,0.08705,0.140773,0.206117
45.703125,0.158534,0.156146,0.047272,0.217913,0.109673,0.10984,1,0.009852,0.134382,0.21438,0.027554,0.127294,0.079258,0.048187,0.055897,0.092526
46.09375,0.077437,0.060273,0.008411,0.030207,0.083349,0.340347,1,0.021971,0.067454,0.119331,0.012259,0.035634,0.075195,0.084885,0.031229,0.032138
46.484375,0.092933,0.018046,0.035194,0.070674,0.018265,0.254312,1,0.01026,0.209744,0.225152,0.281991,0.05872,0.076229,0.099078,0.092371,0.169703
46.875,0.000292,0.018109,0.008333,0.001506,0.191998,0.21534,1,0.033015,0.197563,0.273295,0.366947,0.022927,0.026298,0.208214,0.019181,0.050928
47.265625,0.083966,0.128449,0.037971,0.083968,0.152255,0.187839,1,0.062684,0.144868,0.104116,0.137001,0.131528,0.055187,0.117588,0.028214,0.08625
47.65625,0.174117,0.160175,0.151967,0.139759,0.231929,0.268905,1,0.110078,0.18026,0.106345,0.275656,0.104225,0.036013,0.054733,0.089562,0.12637
48.046875,0.225524,0.129063,0.132119,0.077324,0.140494,0.23212,1,0.03458,0.15436,0.087778,0.123226,0.093612,0.032621,0.054209,0.053546,0.099145
48.4375,0.056797,0.03771,0.017627,0.008801,0.04547,0.287268,1,0.014422,0.046244,0.072151,0.044162,0.023499,0.113998,0.094669,0.108788,0.14968
48.828125,0.036418,0.124374,0.022237,0.034606,0.178431,0.113597,1,0.017367,0.009882,0.004318,0.014731,0.080999,0.011615,0.118919,0.18035,0.127852
49.21875,0.015477,0.066963,0.128944,0.078571,0.074916,0.144996,1,0.038601,0.078749,0.076926,0.061211,0.076247,0.116095,0.104161,0.061317,0.075716
49.609375,0.163002,0.125932,0.039496,0.185905,0.012983,0.316877,1,0.106775,0.03591,0.022,0.053969,0.033997,0.069365,0.07541,0.097372,0.068358
50,0.120869,0.086727,0.098347,0.021082,0.121911,0.263959,1,0.026818,0.020363,0.034511,0.00527,0.038538,0.142691,0.056789,0.088894,0.136243
50.390625,0.011128,0.005392,0.035873,0.011536,0.301925,0.057488,1,0.105135,0.023574,0.062789,0.022398,0.052217,0.039582,0.10003,0.041931,0.040708
50.78125,0.08172,0.057299,0.038466,0.166867,0.024297,0.148386,1,0.006268,0.138726,0.081885,0.169522,0.038253,0.098224,0.007999,0.159611,0.149126
51.171875,0.118032,0.029632,0.029177,0.039992,0.120335,0.157357,1,0.029421,0.053469,0.119902,0.066658,0.022531,0.143588,0.128973,0.174431,0.258219
51.5625,0.065432,0.131266,0.01385,0.052885,0.278224,0.349344,1,0.121288,0.135188,0.248454,0.080331,0.059645,0.069085,0.052759,0.031887,0.001367
51.953125,0.022818,0.014694,0.053981,0.027412,0.269312,0.159566,1,0.062539,0.035043,0.053205,0.142121,0.005783,0.182664,0.057893,0.021977,0.016779
52.34375,0.100104,0.042273,0.01105,0.081541,0.203043,0.13886,1,0.010383,0.017904,0.020732,0.04071,0.008509,0.112731,0.028614,0.067371,0.095149
52.734375,0.121604,0.109712,0.012363,0.284406,0.18551,0.188981,1,0.025509,0.007416,0.016518,0.00942,0.01329,0.020657,0.003621,0.037651,0.000289
53.125,0.070932,0.036375,0.021801,0.131022,0.107558,0.190783,1,0.055982,0.048353,0.049923,0.241469,0.017202,0.006207,0.049298,0.018929,0.040409
53.515625,0.14215,0.039864,0.228541,0.070186,0.054861,0.081635,1,0.045261,0.054087,0.047167,0.061073,0.053134,0.038866,0.044628,0.12828,0.112611
53.90625,0.039876,0.055873,0.050721,0.07787,0.05668,0.053853,1,0.218019,0.026981,0.01636,0.020501,0.022486,0.026348,0.021503,0.020923,0.020198
54.296875,0.037514,0.011382,0.051011,0.05145,0.166976,0.217126,1,0.029773,0.024327,0.049699,0.011542,0.038362,0.070975,0.085148,0.058272,0.065086
